epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4090.61,1.18288,1.75729,1.42975,0.49463,0.47445,0.48601,0.3068,1.33608,1.90649,1.68937,0.00033262,0.00033262,0.0670707
2,6434.18,1.12544,1.46173,1.40284,0.57524,0.58802,0.63249,0.44689,1.08807,1.47078,1.47315,0.000652767,0.000652767,0.0340575
3,8887.18,1.11413,1.3881,1.39728,0.74513,0.65606,0.75199,0.54421,1.03073,1.19837,1.3928,0.000959714,0.000959714,0.00103109
4,11224.7,1.04181,1.25052,1.34385,0.7719,0.71611,0.79932,0.60111,0.90813,1.03415,1.2957,0.0009406,0.0009406,0.0009406
5,13937.7,0.99733,1.18552,1.31648,0.807,0.77481,0.85627,0.63366,0.90099,0.9084,1.26448,0.0009208,0.0009208,0.0009208
6,17221,0.96705,1.09089,1.28255,0.75616,0.72168,0.79834,0.60252,0.88918,1.00074,1.27157,0.000901,0.000901,0.000901
7,20273,0.92478,1.02119,1.26234,0.83778,0.80476,0.88482,0.6955,0.78094,0.7937,1.18078,0.0008812,0.0008812,0.0008812
8,22583.4,0.88099,0.94712,1.23222,0.86088,0.83445,0.92201,0.75344,0.71547,0.67057,1.13522,0.0008614,0.0008614,0.0008614
9,24911.1,0.85564,0.91035,1.20665,0.8405,0.83329,0.90842,0.73505,0.72701,0.71768,1.12237,0.0008416,0.0008416,0.0008416
10,27222.3,0.83351,0.85826,1.19769,0.91229,0.85858,0.94309,0.77967,0.68601,0.58937,1.09245,0.0008218,0.0008218,0.0008218
11,29530.7,0.83073,0.8461,1.19114,0.89167,0.82527,0.91895,0.74911,0.76281,0.65975,1.14593,0.000802,0.000802,0.000802
12,31832.9,0.81599,0.82173,1.18143,0.92768,0.88981,0.96067,0.80878,0.63708,0.51328,1.06415,0.0007822,0.0007822,0.0007822
13,34760.5,0.78684,0.77264,1.16664,0.92644,0.91854,0.9679,0.83144,0.59957,0.47334,1.02751,0.0007624,0.0007624,0.0007624
14,37064.6,0.77438,0.76855,1.15895,0.93602,0.89113,0.96276,0.8271,0.59914,0.47985,1.02854,0.0007426,0.0007426,0.0007426
15,39369.9,0.76154,0.73389,1.14518,0.94085,0.91994,0.96841,0.83346,0.57958,0.45946,1.02271,0.0007228,0.0007228,0.0007228
16,41670.7,0.73634,0.70783,1.13688,0.95641,0.91659,0.9712,0.85179,0.54894,0.4156,0.99997,0.000703,0.000703,0.000703
17,44758.3,0.72294,0.68459,1.12624,0.93527,0.93155,0.97488,0.84945,0.55501,0.42222,0.99931,0.0006832,0.0006832,0.0006832
18,47705.6,0.70959,0.68171,1.11359,0.95585,0.93597,0.97701,0.8609,0.52964,0.40225,0.97705,0.0006634,0.0006634,0.0006634
19,50017,0.69945,0.65628,1.10877,0.96412,0.91439,0.97427,0.86153,0.5272,0.41504,0.97252,0.0006436,0.0006436,0.0006436
20,52326.4,0.69022,0.64395,1.10699,0.97314,0.92788,0.97802,0.87566,0.50848,0.37842,0.96292,0.0006238,0.0006238,0.0006238
21,54633.8,0.66889,0.62456,1.09043,0.95399,0.95401,0.98231,0.87113,0.50438,0.35672,0.96006,0.000604,0.000604,0.000604
22,56944.7,0.66116,0.61154,1.08794,0.9565,0.94996,0.98135,0.88695,0.47328,0.34234,0.93497,0.0005842,0.0005842,0.0005842
23,60119.4,0.65559,0.60034,1.08091,0.96066,0.94065,0.97932,0.88434,0.47596,0.34561,0.94557,0.0005644,0.0005644,0.0005644
24,64400.2,0.65125,0.60024,1.08588,0.97396,0.94786,0.98252,0.89492,0.45319,0.326,0.91772,0.0005446,0.0005446,0.0005446
